candidateId,creator,profileUrl,cohort,followerCount,normalizedSizeCell,rawOriginalHistoryCount,fetchedActivityCount,hitThirtyPostCap,earliestFetchedActivityAt,matureWindowCount,eligibleOriginalCount,distinctWeeks,englishShare,relevantShare,lowValueShare,mediaRetrievalRate,coverageStatus,eligibilityStatus,thresholdReason,contentReviewStatus,contentReviewFlags,eligibilityNote,selectionHash,radarPanel,decisionPanel,strictPanel,selectedTrackA
PLN-E1,Knut Alicke,https://www.linkedin.com/in/knut-alicke,planning_logistics,17856,growing_5k_20k,18,30,true,2026-03-17T16:11:53.905Z,13,13,11,1,0.6154,0,1,left_censored,not_confirmed,fewer_than_20_mature_originals_observed,no_heuristic_flag,,Thirty-activity retrieval cap ended after the window start; missing earlier history could change eligibility.,a1e2ec28a953c4b17677c2a7def7576379a4c11aca32910356663f44e37b622b,true,false,false,false
PLN-E2,Jonathon Karelse,https://www.linkedin.com/in/jonathonkarelse,planning_logistics,6404,growing_5k_20k,7,8,false,2026-03-05T18:49:35.557Z,7,7,7,1,1,0.1429,1,observed_fail,not_confirmed,fewer_than_20_mature_originals_observed|fewer_than_8_weeks_observed,no_heuristic_flag,,Observed history did not meet the frozen cadence gate and was not left-censored.,cb530feb68b60c435e89bcb398bd7e2f2065872599c93d8df41978924639a8c1,false,false,false,false
PLN-E3,Sig Copple,https://www.linkedin.com/in/sigcopple,planning_logistics,1198,near_500_5k,6,7,false,2026-02-24T14:58:56.222Z,4,4,3,1,1,0,1,observed_fail,not_confirmed,fewer_than_20_mature_originals_observed|fewer_than_8_weeks_observed,no_heuristic_flag,,Observed history did not meet the frozen cadence gate and was not left-censored.,ec668d768637620252529b37e6af60cdfce69cb713a1b5aea54b53120107bcc6,false,false,false,false
PLN-E4,Niels Van Hove,https://www.linkedin.com/in/nielsvh,planning_logistics,4123,near_500_5k,3,7,false,2026-03-02T20:00:02.422Z,3,3,3,1,0.6667,0,1,observed_fail,not_confirmed,fewer_than_20_mature_originals_observed|fewer_than_8_weeks_observed,no_heuristic_flag,,Observed history did not meet the frozen cadence gate and was not left-censored.,b30829cfbdfc029b534d7e14ae31525898f0e1428f264e2f7ba4f0b4834b63bd,false,false,false,false
PLN-X1,Lora Cecere,https://www.linkedin.com/in/loracecere,planning_logistics,349564,established_20k_plus,19,30,true,2026-05-19T22:08:58.822Z,14,14,7,1,0.6429,0.0714,1,left_censored,not_confirmed,fewer_than_20_mature_originals_observed|fewer_than_8_weeks_observed,no_heuristic_flag,,Thirty-activity retrieval cap ended after the window start; missing earlier history could change eligibility.,a5745a45caf63deebbce3e8e4a0841fc272639478f186a8dcb632cf1a9d48564,true,false,false,false
PLN-X2,Daniel Stanton,https://www.linkedin.com/in/danielstanton,planning_logistics,186387,established_20k_plus,25,30,true,2026-06-11T08:58:10.077Z,19,19,6,1,1,0.2105,1,left_censored,not_confirmed,fewer_than_20_mature_originals_observed|fewer_than_8_weeks_observed,no_heuristic_flag,,Thirty-activity retrieval cap ended after the window start; missing earlier history could change eligibility.,fa74a3d5529ce2367033b783599963e5ba8e10b2dce068206adcfed4dd8c0818,true,true,false,false
PLN-X3,Sarah Barnes-Humphrey,https://www.linkedin.com/in/sarahbarneshumphrey,planning_logistics,56040,established_20k_plus,30,30,true,2026-05-15T15:21:47.393Z,24,24,9,1,0.625,0.0833,1,confirmed_pass,eligible,,no_heuristic_flag,,"Mechanical cadence gate passed. Heuristic topic labels are diagnostics, not exclusion evidence.",1dd854a1de6d9542b1e867ab6a1489db11f81d9727a412a400abb8c0b33f71e3,true,true,true,true
PLN-X4,Eric Wilson,https://www.linkedin.com/in/wilsondemand,planning_logistics,23043,established_20k_plus,17,30,true,2026-06-17T05:41:11.333Z,11,11,5,1,0.6364,0.2727,1,left_censored,not_confirmed,fewer_than_20_mature_originals_observed|fewer_than_8_weeks_observed,no_heuristic_flag,,Thirty-activity retrieval cap ended after the window start; missing earlier history could change eligibility.,2e40e963313ff88b4286e5505fe5bf74b14f0d2708c5939e79aa20ffb183e0b9,true,false,false,false
PRC-E1,Philip Ideson,https://www.linkedin.com/in/philipideson,purchasing_procurement,15727,growing_5k_20k,30,30,true,2026-02-18T16:42:08.886Z,28,28,22,1,0.9643,0.1786,1,confirmed_pass,eligible,,no_heuristic_flag,,"Mechanical cadence gate passed. Heuristic topic labels are diagnostics, not exclusion evidence.",c0ca9c4047487d6dbee6ef7c59f49daec32d767330f4fc475f20cb170d551c0d,true,true,true,true
PRC-E2,Sammeli Sammalkorpi,https://www.linkedin.com/in/sammeli-sammalkorpi,purchasing_procurement,6646,growing_5k_20k,29,30,true,2026-03-26T14:53:15.389Z,26,26,16,1,0.5769,0.0769,1,confirmed_pass,eligible,,no_heuristic_flag,,"Mechanical cadence gate passed. Heuristic topic labels are diagnostics, not exclusion evidence.",9fff5982370e39ef38b389a4d28f5c8bb7729f079eedd671a376c44a5b09db7b,true,true,true,true
