canonicalPostId,canonicalUrl,creatorId,creator,creatorProfileUrl,cohort,sizeCell,followerCount,publishedAt,publicInteractions,radarPanel,decisionPanel,strictPanel,automatedFeatureVersion,hook,job,proof,artifact,contentClass,problemFamily,cta,nativeFormat,usesNumber,usesQuestion,operationalInputs,operationalSteps,operationalOutput,operationalValidation,ddNews,ddPromotion,ddPersonalAuthority,ddCommentGate,ddEvergreen,captionChars,captionWords,lineCount,paragraphCount,bulletLineCount,questionCount,firstLineChars,firstLineHasQuestion,firstLineHasNumber,urlPresent,numericExpressionPresent,sourceTermPresent,artifactTermPresent,endingQuestion,creatorMedianInteractions,responseRatio,logResponseLift,creatorPercentile,heuristicSignalFlag,strongestPanel
LI-7447657652270346240,https://www.linkedin.com/posts/knut-alicke_the-planner-was-the-system-activity-7447657652270346240-sE2l,PLN-E1,Knut Alicke,https://www.linkedin.com/in/knut-alicke,planning_logistics,growing_5k_20k,17856,2026-04-08T14:52:35.089Z,105,true,false,false,aofa-2026-07-28-v1,H4,J4,P4,AR0,K1,PB11,C0,F6_link_article,false,false,false,false,true,false,false,false,false,false,true,1267,127,9,3,0,0,180,false,false,false,false,false,false,false,105,1,0,0.5,false,radar
LI-7448268104591216640,https://www.linkedin.com/posts/knut-alicke_supplychain-strategy-geopolitics-activity-7448268104591216640-PMoT,PLN-E1,Knut Alicke,https://www.linkedin.com/in/knut-alicke,planning_logistics,growing_5k_20k,17856,2026-04-10T07:18:18.264Z,85,true,false,false,aofa-2026-07-28-v1,H9,J1,P2,AR0,K2,PB6,C0,F2_static_image,true,false,false,true,true,false,false,false,false,false,true,2999,323,21,6,0,0,116,false,false,false,true,false,false,false,105,0.8113207547169812,-0.20909179785855958,0.4230769230769231,false,radar
LI-7450554797893500929,https://www.linkedin.com/posts/knut-alicke_supplychain-leadership-ceo-activity-7450554797893500929-UCLT,PLN-E1,Knut Alicke,https://www.linkedin.com/in/knut-alicke,planning_logistics,growing_5k_20k,17856,2026-04-16T14:44:48.432Z,131,true,false,false,aofa-2026-07-28-v1,H9,J3,P0,AR0,K3,PB11,C0,F2_static_image,false,true,false,false,false,false,false,false,false,false,true,2125,339,12,6,0,2,74,true,false,false,false,false,false,false,105,1.2452830188679245,0.21936282847430366,0.6923076923076923,false,radar
LI-7453885917951311874,https://www.linkedin.com/posts/knut-alicke_%F0%9D%97%9B%F0%9D%97%BC%F0%9D%98%84-%F0%9D%97%9C-%F0%9D%98%83%F0%9D%97%B6%F0%9D%97%AF%F0%9D%97%B2-%F0%9D%97%B0%F0%9D%97%BC%F0%9D%97%B1%F0%9D%97%B2%F0%9D%97%B1-%F0%9D%97%AE%F0%9D%97%BB-%F0%9D%97%A6%F0%9D%97%A2%F0%9D%97%A3-activity-7453885917951311874-ZBM8,PLN-E1,Knut Alicke,https://www.linkedin.com/in/knut-alicke,planning_logistics,growing_5k_20k,17856,2026-04-25T19:21:29.343Z,913,true,false,false,aofa-2026-07-28-v1,H9,J4,P1,AR1,K4,PB1,C3,F3_multi_image,true,true,true,false,false,true,true,false,true,false,false,2380,389,23,9,0,6,70,false,false,false,true,true,false,false,105,8.622641509433961,2.1543914773420827,0.9615384615384616,true,radar
LI-7456955204639309824,https://www.linkedin.com/posts/knut-alicke_supplychain-digitaltransformation-erp-activity-7456955204639309824-_6FZ,PLN-E1,Knut Alicke,https://www.linkedin.com/in/knut-alicke,planning_logistics,growing_5k_20k,17856,2026-05-04T06:37:44.314Z,196,true,false,false,aofa-2026-07-28-v1,H1,J1,P4,AR4,K3,PB5,C6,F2_static_image,true,true,false,true,false,false,false,false,false,false,true,1827,251,18,8,0,3,150,false,true,false,true,false,false,false,105,1.8584905660377358,0.6197646346259216,0.8846153846153846,true,radar
LI-7458423141271310338,https://www.linkedin.com/posts/knut-alicke_supplychaincuriosity-aiinscm-vibecodedscm-activity-7458423141271310338-qG9y,PLN-E1,Knut Alicke,https://www.linkedin.com/in/knut-alicke,planning_logistics,growing_5k_20k,17856,2026-05-08T07:50:47.680Z,122,true,false,false,aofa-2026-07-28-v1,H9,J3,P1,AR1,K1,PB6,C6,F3_multi_image,true,true,true,false,true,false,false,false,false,false,true,1058,168,13,5,0,4,78,false,false,false,true,false,false,false,105,1.1603773584905661,0.14874526126035015,0.5769230769230769,false,radar
LI-7463472301951352833,https://www.linkedin.com/posts/knut-alicke_supplychain-finance-workingcapital-activity-7463472301951352833-XF2G,PLN-E1,Knut Alicke,https://www.linkedin.com/in/knut-alicke,planning_logistics,growing_5k_20k,17856,2026-05-22T06:14:21.395Z,131,true,false,false,aofa-2026-07-28-v1,H9,J1,P2,AR0,K3,PB11,C0,F2_static_image,true,true,false,false,false,false,false,false,false,false,true,2178,325,15,8,0,1,221,false,false,false,true,true,false,false,105,1.2452830188679245,0.21936282847430366,0.6923076923076923,false,radar
LI-7466896472748351488,https://www.linkedin.com/posts/knut-alicke_supplychain-procurement-mergersandacquisitions-activity-7466896472748351488-mi0j,PLN-E1,Knut Alicke,https://www.linkedin.com/in/knut-alicke,planning_logistics,growing_5k_20k,17856,2026-05-31T17:00:47.331Z,59,true,false,false,aofa-2026-07-28-v1,H9,J1,P0,AR0,K3,PB4,C0,F2_static_image,true,false,false,false,false,false,false,false,false,false,true,1872,266,13,7,0,0,189,false,false,false,true,false,false,false,105,0.5660377358490566,-0.5690945318899665,0.19230769230769232,false,radar
LI-7468363976897220608,https://www.linkedin.com/posts/knut-alicke_how-i-vibe-coded-an-sop-app-in-30-hours-activity-7468363976897220608-Hssk,PLN-E1,Knut Alicke,https://www.linkedin.com/in/knut-alicke,planning_logistics,growing_5k_20k,17856,2026-06-04T18:12:07.585Z,183,true,false,false,aofa-2026-07-28-v1,H9,J2,P1,AR1,K4,PB6,C3,F6_link_article,true,false,false,false,true,true,false,false,true,false,true,1982,199,16,6,0,0,135,false,false,true,true,false,false,false,105,1.7358490566037736,0.551496663496919,0.8076923076923077,true,radar
LI-7475205679750975488,https://www.linkedin.com/posts/knut-alicke_microsoft-virtual-events-powered-by-teams-activity-7475205679750975488-Hd_B,PLN-E1,Knut Alicke,https://www.linkedin.com/in/knut-alicke,planning_logistics,growing_5k_20k,17856,2026-06-23T15:18:36.658Z,56,true,false,false,aofa-2026-07-28-v1,H4,J4,P4,AR0,K1,PB6,C2,F6_link_article,false,false,false,false,false,false,false,true,false,false,false,496,87,5,3,0,0,380,false,false,true,false,false,false,false,105,0.5377358490566038,-0.6203878262775167,0.11538461538461539,false,radar
LI-7478030003578961920,https://www.linkedin.com/posts/knut-alicke_what-an-experience-being-in-a-green-room-activity-7478030003578961920-I92Z,PLN-E1,Knut Alicke,https://www.linkedin.com/in/knut-alicke,planning_logistics,growing_5k_20k,17856,2026-07-01T10:21:27.932Z,81,true,false,false,aofa-2026-07-28-v1,H8,J1,P0,AR0,K3,PB12,C0,F3_multi_image,false,false,false,false,false,false,false,false,false,false,true,288,51,5,3,0,0,154,false,false,false,false,false,false,false,105,0.7735849056603774,-0.25671984684781357,0.34615384615384615,false,radar
