matchId,track,casePostId,controlPostId,creatorId,matchGrade,dateGapDays,caseLogLift,controlLogLift,outcomeDelta,caseReferenceIds
MA-40c8c6209983,A,LI-7473483596679479296,LI-7474876826360877058,PLN-X3,AH2,3.8,0.7745,0.3413,0.4332,
MA-06f7df2baa8a,A,LI-7473483596679479296,LI-7467643115722690562,PLN-X3,AH2,16.1,0.7745,-0.364,1.1385,
MA-6db4a7a6ab7f,A,LI-7478846299111370752,LI-7474876826360877058,PLN-X3,AH1,11,0.6229,0.3413,0.2816,
MA-93068f3c2d48,A,LI-7478846299111370752,LI-7467643115722690562,PLN-X3,AH1,30.9,0.6229,-0.364,0.9869,
MA-d48320611256,A,LI-7480636701544210432,LI-7482491006182064129,PLN-X3,AH2,5.1,0.4763,-0.1655,0.6419,
MA-f44622c50bfc,A,LI-7480636701544210432,LI-7474876826360877058,PLN-X3,AH2,15.9,0.4763,0.3413,0.135,
MA-01929fdd00c2,A,LI-7480990332122300416,LI-7469811584203116544,PLN-X3,AH2,30.8,0.6761,-0.0522,0.7282,
MA-0b6fd8adcafb,A,LI-7452616294018801664,LI-7452340465237934081,PRC-E2,AH3,0.8,0.7932,0.0105,0.7828,
MA-4ab28aecd0b1,A,LI-7452616294018801664,LI-7453080355777024000,PRC-E2,AH3,1.3,0.7932,-0.7252,1.5185,
MA-11fe64c9b445,A,LI-7454550178151264256,LI-7457004938603184129,PRC-E2,AH2,6.8,0.9268,0.2583,0.6685,
MA-4ec12ebda486,A,LI-7457756241235443712,LI-7445098759081992192,PRC-E2,AH2,34.9,1.1859,-0.1972,1.3831,
MA-a3524c8382ec,A,LI-7460407271378829312,LI-7462105964272480256,PRC-E2,AH2,4.7,1.4275,-0.4267,1.8543,
MA-a1270715c848,A,LI-7460407271378829312,LI-7465471685111001089,PRC-E2,AH2,14,1.4275,0.0412,1.3863,
MA-426034ed9990,A,LI-7472607684773597184,LI-7472992709662781440,PRC-E2,AH1,1.1,0.6719,-0.0106,0.6825,
MA-1ca6d77d8d04,A,LI-7472607684773597184,LI-7471113166979252224,PRC-E2,AH1,4.1,0.6719,0.5024,0.1695,
MA-35ca60a3869a,A,LI-7475168374843555840,LI-7472992709662781440,PRC-E2,AH3,6,0.6223,-0.0106,0.6329,
MA-32aed4ff26e4,A,LI-7475168374843555840,LI-7471113166979252224,PRC-E2,AH3,11.2,0.6223,0.5024,0.1199,
MA-e9cc05236e20,A,LI-7475537064621473792,LI-7472992709662781440,PRC-E2,AH1,7,1.5487,-0.0106,1.5593,
MA-3afe827aaadf,A,LI-7475537064621473792,LI-7471113166979252224,PRC-E2,AH1,12.2,1.5487,0.5024,1.0463,
MA-baab342b9476,A,LI-7463106339859263488,LI-7465643078197116929,PRC-E4,AH1,7,0.4796,0.0741,0.4055,
MA-133851489c06,A,LI-7475065252645273600,LI-7472528470573678593,PRC-E4,AH2,7,0.4796,0.2683,0.2113,
MA-02a5fcf8d1b3,A,LI-7475065252645273600,LI-7478326694819545089,PRC-E4,AH2,9,0.4796,-0.2624,0.7419,
MA-8da3019681e4,A,LI-7467577059809345536,LI-7481289872285003776,IMP-E2,AH1,37.8,0.6931,0,0.6931,
MA-f608f5acf3e5,A,LI-7467577059809345536,LI-7450517116891619328,IMP-E2,AH1,47.1,0.6931,0,0.6931,
