mechanicId,fieldName,codeValue,track,postN,creatorN,sizeStrataN,nearPeerCreatorN,medianResponseRatio,aboveCreatorMedianShare,creatorWeightedEffect,ciLow,ciHigh,positiveCreatorShare,matchedPairN,positiveFeatureContrastShare,trackAStatus,uniqueCaseN,trackBStatus
hook:H1,hook,H1,A,12,5,3,3,1.75,0.8333,0.7967,0.2842,1.3092,1,7,1,heuristic_peer_signal,,
hook:H2,hook,H2,A,27,8,3,5,0.7692,0.4074,-0.2305,-0.6931,0.1086,0.2857,10,0.5,not_observed,,
hook:H3,hook,H3,A,13,7,3,4,1.1579,0.5385,0.237,-1.065,1.1787,0.5,2,0.5,not_observed,,
hook:H4,hook,H4,A,19,9,3,4,0.9492,0.4737,0.0351,-0.4477,0.4109,0.6667,5,0.8,not_observed,,
hook:H6,hook,H6,A,2,2,2,1,1.2316,0.5,,,,,0,,not_observed,,
hook:H7,hook,H7,A,22,6,3,3,1.0053,0.5,-0.1333,-0.3296,0.0971,0.5,8,0,not_observed,,
hook:H8,hook,H8,A,21,6,3,2,0.8884,0.2857,-0.247,-0.4717,0,0,4,0,not_observed,,
hook:H9,hook,H9,A,131,10,3,5,1,0.4962,0.1104,0.0345,0.2755,0.8,22,0.5455,not_observed,,
job:J1,job,J1,A,92,10,3,5,1,0.4565,-0.0696,-0.2862,0.2631,0.4,24,0.25,not_observed,,
job:J2,job,J2,A,11,7,3,3,0.8621,0.1818,-0.1346,-0.1484,-0.1207,0,3,0,not_observed,,
job:J3,job,J3,A,48,8,3,5,1.0339,0.5208,0.2442,-0.2538,0.4317,0.5714,21,0.7619,not_observed,,
job:J4,job,J4,A,55,10,3,5,0.9492,0.4364,-0.1576,-0.4133,0.2305,0.2222,8,0.875,not_observed,,
job:J5,job,J5,A,13,6,3,3,1.0769,0.6923,0.2173,0.0351,0.7453,1,2,0,not_observed,,
job:J7,job,J7,A,21,7,3,4,1.0105,0.5238,0,-0.3478,0.2007,0.4286,5,0.6,not_observed,,
job:J8,job,J8,A,7,6,3,2,1.7368,1,0.4687,0.4687,0.4687,1,1,0,not_observed,,
proof:P0,proof,P0,A,124,10,3,5,1.0202,0.5081,0.0585,-0.0742,0.4318,0.5,25,0.72,not_observed,,
proof:P1,proof,P1,A,18,7,3,3,0.9797,0.5,-0.4535,-0.7067,0.6161,0.3333,7,0.1429,not_observed,,
proof:P2,proof,P2,A,25,7,3,5,0.8621,0.28,-0.2725,-0.422,-0.1054,0.1429,5,0.8,not_observed,,
proof:P3,proof,P3,A,10,7,2,4,1.1111,0.5,0.8293,0.4055,1.2531,1,8,0.5,not_observed,,
proof:P4,proof,P4,A,57,9,3,5,1.1034,0.5439,0,-0.2313,0.2689,0.4444,24,0.2917,not_observed,,
proof:P5,proof,P5,A,4,4,3,1,1.0082,0.5,,,,,1,0,not_observed,,
proof:P6,proof,P6,A,9,6,3,2,0.9322,0.3333,-0.2217,-1.0729,-0.0088,0,4,0.75,not_observed,,
artifact:AR0,artifact,AR0,A,186,10,3,5,1.0319,0.5161,0.1938,-0.0861,0.4285,0.7,16,0.3125,not_observed,,
artifact:AR1,artifact,AR1,A,4,3,3,1,0.4197,0,-1.2,-1.2,-1.2,0,0,,not_observed,,
artifact:AR2,artifact,AR2,A,6,4,2,0,0.8895,0.5,1.2867,1.2867,1.2867,1,0,,not_observed,,
artifact:AR3,artifact,AR3,A,13,4,2,2,1.5,0.6154,0.2985,-0.3617,0.5648,0.75,9,0.7778,heuristic_peer_signal,,
artifact:AR4,artifact,AR4,A,26,10,3,5,0.8721,0.3077,-0.3516,-0.4079,-0.0715,0.1429,8,0.625,not_observed,,
artifact:AR5,artifact,AR5,A,12,7,3,4,1,0.4167,0.0319,-0.6898,0.4687,0.5,5,0.4,not_observed,,
contentClass:K1,contentClass,K1,A,31,9,3,5,1,0.4839,-0.1306,-0.2642,0.0678,0.2857,0,,not_observed,,
