scoutId,problemFamily,job,artifact,sourcePosts,creatorN,radarSignals,decisionSignals,strictSignals,trackASignals,top100Signals,tigerSignals,independentEvidenceLayers,medianResponseRatio,publicProofPath,artifactPath,validationCheck,screeningTier,screeningStatus
SQ-1673e9ac45,PB6,J4,AR0,7,7,5,5,2,2,2,0,2,2.6316,documented_case_or_research,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_A,exploratory_only_failed_reliability_gate
SQ-a405457ee1,PB9,J5,AR0,8,6,7,7,3,3,1,0,2,2.3061,documented_case_or_research,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_A,exploratory_only_failed_reliability_gate
SQ-85d082816a,PB6,J1,AR0,6,6,5,5,3,3,1,0,2,2.4706,documented_case_or_research,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_A,exploratory_only_failed_reliability_gate
SQ-7a247e6eec,PB10,J4,AR0,4,4,2,1,1,1,2,0,2,2.5793,documented_case_or_research,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_A,exploratory_only_failed_reliability_gate
SQ-bf687877e4,PB3,J4,AR0,4,3,2,2,1,1,0,2,2,2.125,public_dataset_formula_or_standard,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_A,exploratory_only_failed_reliability_gate
SQ-62f08370f1,PB6,J3,AR3,4,3,2,2,2,2,2,0,2,2.088,documented_case_or_research,copyable_operating_asset,worked_example_plus_reconciliation_or_failure_condition,screen_A,exploratory_only_failed_reliability_gate
SQ-8b5c6da45a,PB3,J1,AR0,3,3,2,2,1,1,0,1,2,1.6747,public_dataset_formula_or_standard,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_A,exploratory_only_failed_reliability_gate
SQ-a0d0d0e2ad,PB10,J1,AR0,3,3,2,2,1,1,1,0,2,3.3846,documented_case_or_research,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_A,exploratory_only_failed_reliability_gate
SQ-a35975944c,PB4,J4,AR0,3,3,2,2,2,2,0,1,2,2,public_dataset_formula_or_standard,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_A,exploratory_only_failed_reliability_gate
SQ-b36d9a293a,PB3,J3,AR0,3,2,1,1,1,1,0,2,2,1.6154,public_dataset_formula_or_standard,build_decision_reference,worked_example_plus_reconciliation_or_failure_condition,screen_A,exploratory_only_failed_reliability_gate
