canonicalPostId,canonicalUrl,creatorId,creator,creatorProfileUrl,cohort,sizeCell,followerCount,publishedAt,postAgeDays,reactionCount,commentCount,repostCount,publicInteractions,automatedFeatureVersion,hook,job,proof,artifact,contentClass,problemFamily,cta,nativeFormat,usesNumber,usesQuestion,operationalInputs,operationalSteps,operationalOutput,operationalValidation,ddNews,ddPromotion,ddPersonalAuthority,ddCommentGate,ddEvergreen,captionChars,captionWords,lineCount,paragraphCount,bulletLineCount,questionCount,firstLineChars,firstLineHasQuestion,firstLineHasNumber,urlPresent,numericExpressionPresent,sourceTermPresent,artifactTermPresent,endingQuestion,creatorMedianInteractions,responseRatio,logResponseLift,creatorPercentile
LI-7429930054463397888,https://www.linkedin.com/posts/shettys-desk_shettys-desk-01-activity-7429930054463397888-mYwC,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-02-18T16:49:26.409Z,160,39,0,0,39,aofa-2026-07-28-v1,H9,J1,P2,AR4,K3,PB10,C6,F4_document,true,true,false,true,true,false,false,false,false,false,true,1983,321,21,11,0,1,186,false,false,false,true,true,true,false,7,5,1.6094379124341005,0.8706896551724138
LI-7430619873980043265,https://www.linkedin.com/posts/shettys-desk_shettysdesk-supplychain-logistics-activity-7430619873980043265-ZQb1,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-02-20T14:30:32.198Z,158,377,36,28,441,aofa-2026-07-28-v1,H3,J4,P4,AR4,K4,PB3,C0,F2_static_image,true,true,false,true,false,false,true,false,false,false,false,1465,226,16,7,3,1,86,true,false,false,true,false,false,false,7,55.25,4.0118683403978626,0.9741379310344828
LI-7431677458656944128,https://www.linkedin.com/posts/shettys-desk_shettysdesk-supplychain-fastfashion-activity-7431677458656944128-d__q,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-02-23T12:33:00.034Z,155,14,3,0,17,aofa-2026-07-28-v1,H1,J4,P2,AR0,K8,PB3,C6,F2_static_image,true,true,false,false,true,false,false,true,false,false,false,1772,275,17,7,3,2,109,true,true,false,true,true,false,false,7,2.25,0.8109302162163288,0.8103448275862069
LI-7432443510550786048,https://www.linkedin.com/posts/shettys-desk_glp-1-distribution-crisis-activity-7432443510550786048-BYRi,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-02-25T15:17:01.038Z,153,9,0,0,9,aofa-2026-07-28-v1,H9,J4,P6,AR4,K2,PB11,C6,F4_document,true,true,false,false,false,false,false,false,false,false,true,1321,203,16,7,3,2,151,true,false,false,true,false,true,true,7,1.25,0.22314355131421015,0.5862068965517241
LI-7433165079338164224,https://www.linkedin.com/posts/shettys-desk_shettysdesk-supplychain-sportswear-activity-7433165079338164224-cg79,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-02-27T15:04:16.443Z,151,10,0,0,10,aofa-2026-07-28-v1,H1,J3,P2,AR0,K3,PB11,C6,F2_static_image,true,true,false,false,false,false,true,false,false,false,false,1752,281,16,7,3,2,138,true,true,false,true,true,true,false,7,1.375,0.3184537311185349,0.6293103448275862
LI-7433889772617613312,https://www.linkedin.com/posts/shettys-desk_shettysdesk-supplychain-failproof-activity-7433889772617613312-i-MT,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-03-01T15:03:56.785Z,149,11,3,1,15,aofa-2026-07-28-v1,H1,J4,P4,AR0,K2,PB3,C6,F2_static_image,true,true,false,false,true,true,false,false,false,false,true,1485,232,24,12,3,1,61,false,true,false,true,false,false,false,7,2,0.6931471805599454,0.7586206896551724
LI-7434332531879014401,https://www.linkedin.com/posts/shettys-desk_february-28-2026-us-israeli-strikes-on-activity-7434332531879014401-xKL-,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-03-02T20:23:18.819Z,148,12,5,0,17,aofa-2026-07-28-v1,H9,J1,P6,AR4,K2,PB12,C6,F2_static_image,true,true,false,false,true,false,false,false,false,false,true,1392,217,26,13,4,1,46,false,true,false,true,false,false,false,7,2.25,0.8109302162163288,0.8103448275862069
LI-7434862773030948864,https://www.linkedin.com/posts/shettys-desk_96-of-dry-cargo-containers-100-of-refrigerated-activity-7434862773030948864-2GvG,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-03-04T07:30:18.161Z,146,6,2,0,8,aofa-2026-07-28-v1,H1,J4,P0,AR0,K3,PB3,C6,F2_static_image,true,true,false,false,true,false,true,false,false,false,false,1896,319,26,12,4,1,28,false,true,false,true,false,false,false,7,1.125,0.11778303565638382,0.5431034482758621
LI-7435715067708411904,https://www.linkedin.com/posts/shettys-desk_total-landed-cost-tariffs-activity-7435715067708411904-ic6Y,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-03-06T15:57:01.047Z,144,3,0,0,3,aofa-2026-07-28-v1,H1,J1,P4,AR4,K2,PB11,C6,F4_document,true,true,true,false,false,false,false,false,false,false,true,1505,237,21,9,4,2,127,false,true,false,true,false,true,false,7,0.5,-0.6931471805599452,0.1810344827586207
LI-7436809798576410624,https://www.linkedin.com/posts/shettys-desk_why-does-the-worlds-most-recognised-energy-activity-7436809798576410624-M5AZ,TIGER,Poornajith Shetty,https://www.linkedin.com/in/shettys-desk,tiger,near_500_5k,1510,2026-03-09T16:27:05.225Z,141,46,0,1,47,aofa-2026-07-28-v1,H8,J4,P4,AR4,K3,PB10,C6,F2_static_image,true,true,false,false,false,false,false,false,false,false,true,1552,261,20,10,4,2,75,true,false,false,true,false,false,false,7,6,1.791759469228055,0.9051724137931034
