canonicalPostId,canonicalUrl,referenceIds,creatorId,creator,creatorProfileUrl,publishedAt,postAgeDays,publicInteractions,creatorBaselineN,creatorMedianInteractions,responseRatio,logResponseLift,maturityStatus,quantitativeStatus,automatedFeatureVersion,hook,job,proof,artifact,contentClass,problemFamily,cta,nativeFormat,usesNumber,usesQuestion,operationalInputs,operationalSteps,operationalOutput,operationalValidation,ddNews,ddPromotion,ddPersonalAuthority,ddCommentGate,ddEvergreen,captionChars,captionWords,lineCount,paragraphCount,bulletLineCount,questionCount,firstLineChars,firstLineHasQuestion,firstLineHasNumber,urlPresent,numericExpressionPresent,sourceTermPresent,artifactTermPresent,endingQuestion
LI-7471169532758355968,https://www.linkedin.com/posts/ericpartaker_85-of-leaders-regretted-a-major-decision-activity-7471169532758355968-c7NH,1|63,https://www.linkedin.com/in/ericpartaker,Eric Partaker,https://www.linkedin.com/in/ericpartaker,2026-06-12T12:00:24.227Z,46,1071,13,1373,0.7802037845705968,-0.24820013115154715,mature,quantitative,aofa-2026-07-28-v1,H1,J3,P6,AR4,K2,PB1,C6,F2_static_image,true,true,false,false,true,true,false,false,false,false,true,1645,280,61,20,0,5,52,false,true,true,true,true,true,false
LI-7470744054700589057,https://www.linkedin.com/posts/anupkarumanchi_plmcoach-plm-teamcenter-activity-7470744054700589057-ktJx,2,https://www.linkedin.com/in/anupkarumanchi,Anup Karumanchi,https://www.linkedin.com/in/anupkarumanchi,2026-06-11T07:49:42.353Z,47,671,1,167,4,1.3862943611198908,mature,descriptive_only,aofa-2026-07-28-v1,H3,J4,P4,AR0,K3,PB5,C6,F2_static_image,true,true,false,false,true,false,true,false,false,false,false,2080,242,49,22,0,1,55,false,false,false,true,false,false,false
LI-7470414535900876800,https://www.linkedin.com/posts/fatima-rasheed-khan_replitpartner-activity-7470414535900876800-6uJb,3,https://www.linkedin.com/in/fatima-rasheed-khan,Fatima Khan,https://www.linkedin.com/in/fatima-rasheed-khan,2026-06-10T10:00:18.949Z,48,1280,13,679,1.8838235294117647,0.633303503726582,mature,quantitative,aofa-2026-07-28-v1,H4,J4,P3,AR2,K1,PB10,C6,F2_static_image,true,true,true,true,true,true,false,false,false,false,true,1835,289,29,12,2,1,41,false,false,true,true,true,true,false
LI-7468986861345087488,https://www.linkedin.com/posts/joshejsanders_90-of-a-viral-linkedin-post-depends-on-1-activity-7468986861345087488-eGba,9,https://www.linkedin.com/in/joshejsanders,Josh S.,https://www.linkedin.com/in/joshejsanders,2026-06-06T11:27:14.810Z,52,527,14,590.5,0.8926458157227388,-0.11356539971218016,mature,quantitative,aofa-2026-07-28-v1,H1,J3,P3,AR5,K1,PB10,C6,F2_static_image,true,true,false,false,true,false,false,false,false,false,true,2566,432,84,34,0,2,48,false,true,false,true,false,true,false
LI-7468602533284974592,https://www.linkedin.com/posts/charlie-hills_claude-almost-runs-my-entire-content-system-activity-7468602533284974592-g74g,11,https://www.linkedin.com/in/charlie-hills,Charlie Hills 🦩,https://www.linkedin.com/in/charlie-hills,2026-06-05T10:00:03.860Z,53,1991,15,1009,1.9722772277227723,0.6791888283092389,mature,quantitative,aofa-2026-07-28-v1,H4,J4,P0,AR1,K3,PB6,C6,F2_static_image,true,true,false,true,false,true,false,false,false,false,true,1585,264,56,20,20,1,46,false,false,true,true,false,true,true
LI-7468279103163596800,https://www.linkedin.com/posts/diandraescobar_a-client-of-ours-pulled-824k-impressions-activity-7468279103163596800-WOb5,12,https://www.linkedin.com/in/diandraescobar,Diandra Escobar,https://www.linkedin.com/in/diandraescobar,2026-06-04T12:34:52.110Z,54,249,8,217.5,1.1441647597254005,0.13467490332660148,mature,descriptive_only,aofa-2026-07-28-v1,H9,J1,P4,AR5,K3,PB4,C7,F2_static_image,true,false,false,false,false,false,false,false,false,false,true,1731,298,34,16,0,0,145,false,true,false,true,false,false,false
LI-7466137551251378176,https://www.linkedin.com/posts/sarah-hurzeler_forecasts-dont-buy-inventory-plans-don-activity-7466137551251378176-XXE2,13,https://www.linkedin.com/in/sarah-hurzeler,Sarah Hurzeler,https://www.linkedin.com/in/sarah-hurzeler,2026-05-29T14:45:06.346Z,60,38,25,45,0.8478260869565217,-0.16507975035944877,mature,quantitative,aofa-2026-07-28-v1,H9,J7,P0,AR0,K8,PB2,C1,F2_static_image,false,true,false,false,false,false,true,true,false,false,false,1426,188,42,12,11,1,30,false,false,false,false,false,false,true
LI-7467168415565197313,https://www.linkedin.com/posts/mischa-collins_back-in-march-my-engagement-dropped-by-20-activity-7467168415565197313-7c7l,16,https://www.linkedin.com/in/mischa-collins,Mischa Collins,https://www.linkedin.com/in/mischa-collins,2026-06-01T11:01:23.551Z,57,584,16,717,0.8147632311977716,-0.2048577218163672,mature,quantitative,aofa-2026-07-28-v1,H1,J3,P0,AR0,K3,PB10,C1,F2_static_image,true,true,true,false,false,false,false,true,false,false,false,1513,254,64,25,6,1,44,false,true,false,true,false,false,true
LI-7465341043337555968,https://www.linkedin.com/posts/charlie-hills_zapierpartner-activity-7465341043337555968-dR1B,17,https://www.linkedin.com/in/charlie-hills,Charlie Hills 🦩,https://www.linkedin.com/in/charlie-hills,2026-05-27T10:00:04.061Z,62,1636,15,1009,1.620792079207921,0.4829149675358302,mature,quantitative,aofa-2026-07-28-v1,H4,J4,P0,AR0,K1,PB6,C7,F2_static_image,true,false,false,true,true,false,false,false,false,false,true,366,66,15,7,3,0,38,false,true,true,true,false,false,false
LI-7466821513392865280,https://www.linkedin.com/posts/ericpartaker_businesses-underperform-for-7-reasons-most-activity-7466821513392865280-h3ae,18,https://www.linkedin.com/in/ericpartaker,Eric Partaker,https://www.linkedin.com/in/ericpartaker,2026-05-31T12:02:55.628Z,58,2252,13,1373,1.6397379912663756,0.49453646764994996,mature,quantitative,aofa-2026-07-28-v1,H9,J3,P4,AR2,K2,PB9,C1,F2_static_image,true,true,false,true,true,false,false,true,false,false,false,2081,326,88,27,8,9,38,false,true,true,true,false,false,false
