canonicalPostId,canonicalUrl,creatorId,creator,creatorProfileUrl,cohort,sizeCell,followerCount,publishedAt,postAgeDays,reactionCount,commentCount,repostCount,publicInteractions,automatedFeatureVersion,hook,job,proof,artifact,contentClass,problemFamily,cta,nativeFormat,usesNumber,usesQuestion,operationalInputs,operationalSteps,operationalOutput,operationalValidation,ddNews,ddPromotion,ddPersonalAuthority,ddCommentGate,ddEvergreen,captionChars,captionWords,lineCount,paragraphCount,bulletLineCount,questionCount,firstLineChars,firstLineHasQuestion,firstLineHasNumber,urlPresent,numericExpressionPresent,sourceTermPresent,artifactTermPresent,endingQuestion,creatorMedianInteractions,responseRatio,logResponseLift,creatorPercentile,winnerFlag
LI-7461073352993153024,https://www.linkedin.com/posts/sarahbarneshumphrey_supplychain-logistics-ai-activity-7461073352993153024-YLPP,PLN-X3,Sarah Barnes-Humphrey,https://www.linkedin.com/in/sarahbarneshumphrey,planning_logistics,established_20k_plus,56040,2026-05-15T15:21:47.393Z,74,30,11,0,41,aofa-2026-07-28-v1,H2,J3,P0,AR0,K2,PB6,C2,F5_video,true,false,false,false,true,false,false,false,false,false,true,884,134,20,8,0,0,56,false,false,false,true,false,false,false,58,0.711864406779661,-0.3398678256223513,0.2916666666666667,false
LI-7465466286412582912,https://www.linkedin.com/posts/sarahbarneshumphrey_letstalksupplychain-thoughtsandcoffee-supplychain-activity-7465466286412582912-NeQq,PLN-X3,Sarah Barnes-Humphrey,https://www.linkedin.com/in/sarahbarneshumphrey,planning_logistics,established_20k_plus,56040,2026-05-27T18:17:44.337Z,62,32,29,2,63,aofa-2026-07-28-v1,H9,J1,P0,AR0,K8,PB6,C2,F5_video,true,false,false,false,false,false,false,false,false,false,true,972,143,24,12,0,0,35,false,false,false,true,false,false,false,58,1.0847457627118644,0.08134563945395179,0.6041666666666666,false
LI-7467643115722690562,https://www.linkedin.com/posts/sarahbarneshumphrey_somewhere-on-your-phone-theres-a-note-a-activity-7467643115722690562-fjwi,PLN-X3,Sarah Barnes-Humphrey,https://www.linkedin.com/in/sarahbarneshumphrey,planning_logistics,established_20k_plus,56040,2026-06-02T18:27:40.888Z,56,27,13,0,40,aofa-2026-07-28-v1,H9,J1,P3,AR0,K3,PB12,C6,F2_static_image,true,true,false,false,false,false,false,false,false,false,true,879,153,27,14,2,2,114,false,false,false,true,false,false,false,58,0.6949152542372882,-0.36396537720141175,0.22916666666666666,false
LI-7468034825975812096,https://www.linkedin.com/posts/sarahbarneshumphrey_letstalksupplychain-thoughtsandcoffee-supplychain-activity-7468034825975812096-Dfjc,PLN-X3,Sarah Barnes-Humphrey,https://www.linkedin.com/in/sarahbarneshumphrey,planning_logistics,established_20k_plus,56040,2026-06-03T20:24:11.890Z,55,28,9,4,41,aofa-2026-07-28-v1,H9,J1,P4,AR4,K8,PB3,C2,F5_video,true,true,false,false,false,false,true,false,false,false,false,1860,297,38,19,0,1,52,true,false,false,true,false,false,false,58,0.711864406779661,-0.3398678256223513,0.2916666666666667,false
LI-7468396710642339841,https://www.linkedin.com/posts/sarahbarneshumphrey_excited-to-be-moderating-a-webinar-on-june-activity-7468396710642339841-n1sv,PLN-X3,Sarah Barnes-Humphrey,https://www.linkedin.com/in/sarahbarneshumphrey,planning_logistics,established_20k_plus,56040,2026-06-04T20:22:11.918Z,54,27,4,0,31,aofa-2026-07-28-v1,H2,J1,P4,AR0,K8,PB12,C2,F2_static_image,true,false,false,false,false,false,false,true,false,false,false,711,117,15,8,0,0,90,false,true,true,true,false,false,false,58,0.5423728813559322,-0.6118015411059932,0.0625,false
LI-7469811584203116544,https://www.linkedin.com/posts/sarahbarneshumphrey_a-simple-framework-for-creating-a-learning-activity-7469811584203116544-y14e,PLN-X3,Sarah Barnes-Humphrey,https://www.linkedin.com/in/sarahbarneshumphrey,planning_logistics,established_20k_plus,56040,2026-06-08T18:04:24.062Z,50,42,11,2,55,aofa-2026-07-28-v1,H4,J4,P6,AR4,K1,PB9,C6,F2_static_image,false,true,false,false,true,false,false,false,true,false,true,1348,236,25,13,1,2,88,false,false,false,false,false,true,true,58,0.9491525423728814,-0.05218575317057006,0.4375,false
LI-7470454064850493440,https://www.linkedin.com/posts/sarahbarneshumphrey_lipedemaawarenessmonth-activity-7470454064850493440-NPcR,PLN-X3,Sarah Barnes-Humphrey,https://www.linkedin.com/in/sarahbarneshumphrey,planning_logistics,established_20k_plus,56040,2026-06-10T12:37:23.385Z,48,304,56,2,362,aofa-2026-07-28-v1,H2,J1,P0,AR0,K2,PB12,C6,F3_multi_image,true,true,false,false,true,false,false,false,true,false,true,1183,206,30,15,0,1,58,false,true,false,true,false,false,false,58,6.1525423728813555,1.8168653903591307,0.9791666666666666,true
LI-7470565974249988096,https://www.linkedin.com/posts/sarahbarneshumphrey_letstalksupplychain-thoughtsandcoffee-supplychain-activity-7470565974249988096-TDkB,PLN-X3,Sarah Barnes-Humphrey,https://www.linkedin.com/in/sarahbarneshumphrey,planning_logistics,established_20k_plus,56040,2026-06-10T20:02:04.665Z,48,28,28,0,56,aofa-2026-07-28-v1,H9,J1,P2,AR4,K5,PB5,C0,F5_video,true,false,false,false,false,false,true,false,false,false,false,1619,261,25,13,0,0,76,false,false,false,true,true,false,false,58,0.9661016949152542,-0.03448617607116944,0.4791666666666667,false
LI-7471274411938168833,https://www.linkedin.com/posts/sarahbarneshumphrey_be-honest-have-you-ever-convinced-yourself-activity-7471274411938168833-PR3l,PLN-X3,Sarah Barnes-Humphrey,https://www.linkedin.com/in/sarahbarneshumphrey,planning_logistics,established_20k_plus,56040,2026-06-12T18:57:09.372Z,46,10,5,0,15,aofa-2026-07-28-v1,H9,J3,P0,AR0,K6,PB9,C6,F1_text_only,false,true,false,false,false,false,false,false,false,false,true,905,151,19,9,0,2,88,true,false,false,false,false,false,true,58,0.2711864406779661,-1.3049487216659386,0.020833333333333332,false
LI-7472349056678334464,https://www.linkedin.com/posts/sarahbarneshumphrey_eight-years-of-building-something-has-a-way-activity-7472349056678334464-ydEk,PLN-X3,Sarah Barnes-Humphrey,https://www.linkedin.com/in/sarahbarneshumphrey,planning_logistics,established_20k_plus,56040,2026-06-15T18:07:24.644Z,43,61,14,1,76,aofa-2026-07-28-v1,H9,J8,P0,AR0,K7,PB12,C7,F2_static_image,true,false,false,false,false,false,false,false,false,false,true,941,165,17,9,0,0,88,false,false,true,true,false,false,false,58,1.305084745762712,0.2662679779479644,0.6875,false
