provenance_id,record_id,source_type,source_reference,collected_at,access_method,read_only,observation_scope,limitations,confidence
PV-00001,LI-7488979797663019008,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7488979797663019008,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00002,TEXT-4ce045f2,linkedin_live_saved_collection,LinkedIn saved posts list,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00003,LI-7488585935157207041,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7488585935157207041,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00004,LI-7488575881008054272,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7488575881008054272,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00005,LI-7488563298611675138,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7488563298611675138,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00006,LI-7488564361578475520,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7488564361578475520,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00007,LI-7488186654030151682,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7488186654030151682,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00008,LI-7488239439991799808,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7488239439991799808,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00009,LI-7483544017998127106,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7483544017998127106,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00010,LI-7486569033748787200,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7486569033748787200,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
PV-00011,LI-7487463674434048000,linkedin_live_saved_collection,https://www.linkedin.com/feed/update/urn:li:activity:7487463674434048000,2026-08-02T18:05:05.577Z,"logged-in LinkedIn browser, read-only",true,"Saved membership, author, relative age, caption text, activity ID when linked, and image-preview presence.","Intentionally curated reference set, not a random sample. Saved-list cards did not expose impressions or engagement counts. Seventeen text-only rows lacked activity URLs.",high for visible fields; unavailable for performance
